id,path,title,section_ path,categorization_path,year,authors,venue,citation_count,semantic_scholar_id
baa3b0fc,test/CollaborER.pdf,CollaborER: A Self-supervised Entity Resolution Framework Using Multi-features Collaboration,test/baa3b0fc_sections.json,test/baa3b0fc_categorized.json,2021.0,"Congcong Ge, Pengfei Wang, Lu Chen, Xiaoze Liu, Baihua Zheng, Yunjun Gao",arXiv.org,4.0,3d1653a4949a46f3370399be20396cafa9d88996
79bc4b32,test/BERTEM.pdf,Analyzing How BERT Performs Entity Matching,test/79bc4b32_sections.json,test/79bc4b32_categorized.json,2022.0,"Matteo Paganelli, Francesco Del Buono, Andrea Baraldi, F. Guerra",Proceedings of the VLDB Endowment,27.0,2111bb95cca973759ff32eb5f6b481b531055c95
53cfb6e5,test/BatchER.pdf,Cost-Effective In-Context Learning for Entity Resolution: A Design Space Exploration,test/53cfb6e5_sections.json,test/53cfb6e5_categorized.json,2023.0,"Meihao Fan, Xiaoyue Han, Ju Fan, Chengliang Chai, Nan Tang, Guoliang Li, Xiaoyong Du",IEEE International Conference on Data Engineering,14.0,d642e004b9e4acef660283e4f518aa9210ff341d
98c01c4b,test/ADAMEL.pdf,Deep Transfer Learning for Multi-source Entity Linkage via Domain Adaptation,test/98c01c4b_sections.json,test/98c01c4b_categorized.json,2021.0,"Di Jin, Bunyamin Sisman, Hao Wei, Xin Dong, Danai Koutra",Proceedings of the VLDB Endowment,13.0,6f1043b213157e31b998ba10c5aea90e282db402
54593c94,test/CLER.pdf,Blocker and Matcher Can Mutually Benefit: A Co-Learning Framework for Low-Resource Entity Resolution,test/54593c94_sections.json,test/54593c94_categorized.json,2023.0,"Shiwen Wu, Qiyu Wu, Honghua Dong, Wen Hua, Xiaofang Zhou",Proceedings of the VLDB Endowment,7.0,b4e7db733588b97e0095bea2d329a8b42b2ee8f4
3e96d15e,test/DIAL.pdf,Deep Indexed Active Learning for Matching Heterogeneous Entity Representations,test/3e96d15e_sections.json,test/3e96d15e_categorized.json,2021.0,"Arjit Jain, Sunita Sarawagi, Prithviraj Sen",Proceedings of the VLDB Endowment,25.0,b69dfbe1d9dff10307227624250f62eab5f9261e
10669016,test/GSMB.pdf,Generalized Supervised Meta-blocking,test/10669016_sections.json,test/10669016_categorized.json,2022.0,"Luca Gagliardelli, G. Papadakis, Giovanni Simonini, S. Bergamaschi, Themis Palpanas",Proceedings of the VLDB Endowment,9.0,dfed1188c2bdff8a823454aa99d53462cd8e04cc
9f0c2daf,test/Sparkly.pdf,Sparkly: A Simple yet Surprisingly Strong TF/IDF Blocker for Entity Matching,test/9f0c2daf_sections.json,test/9f0c2daf_categorized.json,2023.0,"Derek Paulsen, Yash Govind, A. Doan",Proceedings of the VLDB Endowment,26.0,0d87e9b80950422b12953219d6dbeefeb6aac0b4
d6c37522,test/PromptEM.pdf,PromptEM: Prompt-tuning for Low-resource Generalized Entity Matching,test/d6c37522_sections.json,test/d6c37522_categorized.json,2022.0,"Pengfei Wang, Xiaocan Zeng, Lu Chen, Fan Ye, Yuren Mao, Junhao Zhu, Yunjun Gao",Proceedings of the VLDB Endowment,30.0,00b93e27e39c2f41688ec7e25d9e002c5720a509
07e4e216,test/SMASH.pdf,"Dealing with Acronyms, Abbreviations, and Typos in Real-World Entity Matching",test/07e4e216_sections.json,test/07e4e216_categorized.json,2024.0,"Joshua Wu, Dixin Tang, Nithin V. Chalapathi, Tristan Chambers, Julie Ciccolini, Cheryl Phillips, Lisa Pickoff-White, Aditya G. Parameswaran",Proceedings of the VLDB Endowment,1.0,068c189033b0d06aeab5872c8fd31f6d6f33b535
